SNP1,SNP2,SNP3,SNP4,SNP5,SNP6,SNP7,SNP8,SNP9,SNP10,SNP11,SNP12,SNP13,SNP14,SNP15,SNP16,SNP17,SNP18,SNP19,SNP20,SNP21,SNP22,SNP23,SNP24,SNP25,SNP26,SNP27,SNP28,SNP29,SNP30,SNP31,SNP32,SNP33,SNP34,SNP35,SNP36,SNP37,SNP38,SNP39,SNP40,SNP41,SNP42,SNP43,SNP44,SNP45,SNP46,SNP47,SNP48,SNP49,SNP50,SNP51,SNP52,SNP53,SNP54,SNP55,SNP56,SNP57,SNP58,SNP59,SNP60,SNP61,SNP62,SNP63,SNP64,SNP65,SNP66,SNP67,SNP68,SNP69,SNP70,SNP71,SNP72,SNP73,SNP74,SNP75,SNP76,SNP77,SNP78,SNP79,SNP80,SNP81,SNP82,SNP83,SNP84,SNP85,SNP86,SNP87,SNP88,SNP89,SNP90,SNP91,SNP92,SNP93,SNP94,SNP95,SNP96,SNP97,SNP98,SNP99,SNP100,Phenotype
2,1.0,2,2,2,2.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,0,2,1.0,2.0,2.0,2.0,0.0,2,2.0,2.0,2,2.0,2.0,1,1.0,2.0,2.0,2.0,2.0,2,2.0,2.0,1,1.0,2,2.0,1.0,2.0,2.0,2,2.0,2.0,1.0,2,2.0,2,0.0,2,1,2.0,1.0,2,1,1.0,2.0,1.0,2,2.0,2.0,2,2.0,1.0,2.0,2.0,2,1.0,1.0,2.0,2.0,2.0,,1.0,1.0,1,2,2.0,1.0,1.0,0,2.0,2,2.0,2,2,2.0,1.0,2.0,2.0,2.0,2,2.0,0.0,1.0,2.0,0.0,1.0,1,-1.06787701424194
2,,2,2,2,2.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,1,1,2.0,2.0,2.0,1.0,1.0,2,2.0,,2,2.0,1.0,2,,2.0,1.0,2.0,1.0,1,2.0,1.0,2,0.0,2,2.0,1.0,2.0,1.0,2,2.0,0.0,1.0,2,2.0,2,1.0,2,1,2.0,1.0,2,1,2.0,2.0,2.0,2,2.0,2.0,2,1.0,1.0,0.0,2.0,2,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2,1,0.0,2.0,1.0,1,1.0,2,1.0,2,2,2.0,1.0,2.0,2.0,2.0,2,2.0,2.0,2.0,1.0,2.0,0.0,1,-0.320873964094416
2,0.0,2,1,2,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1,2,2.0,1.0,0.0,1.0,2.0,2,2.0,2.0,2,2.0,,1,2.0,1.0,1.0,2.0,2.0,2,2.0,2.0,0,2.0,1,2.0,1.0,1.0,1.0,2,0.0,1.0,2.0,1,2.0,2,2.0,2,2,1.0,1.0,2,1,2.0,2.0,2.0,2,2.0,2.0,2,,2.0,2.0,1.0,2,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1,2,2.0,2.0,0.0,2,1.0,1,2.0,2,1,2.0,0.0,2.0,2.0,1.0,2,2.0,1.0,2.0,1.0,2.0,1.0,2,0.48689735343383
2,1.0,2,2,2,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2,2,1.0,1.0,2.0,2.0,1.0,2,2.0,2.0,2,2.0,1.0,1,1.0,2.0,2.0,2.0,2.0,2,2.0,2.0,1,1.0,2,2.0,0.0,2.0,1.0,1,0.0,2.0,1.0,2,2.0,1,0.0,2,2,2.0,2.0,1,2,2.0,2.0,2.0,2,2.0,2.0,1,2.0,1.0,2.0,2.0,2,0.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,2,2,1.0,2.0,1.0,2,2.0,1,1.0,2,1,1.0,0.0,2.0,2.0,2.0,2,0.0,1.0,2.0,0.0,2.0,2.0,1,0.968169666856982
2,2.0,2,2,2,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1,1,1.0,1.0,2.0,2.0,1.0,2,2.0,1.0,2,2.0,2.0,1,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,2.0,2,2.0,1.0,2.0,1.0,2,0.0,2.0,1.0,2,2.0,2,1.0,1,1,1.0,1.0,2,2,2.0,2.0,2.0,2,2.0,2.0,2,2.0,0.0,2.0,1.0,2,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,0,2,2.0,2.0,1.0,1,2.0,1,2.0,2,2,2.0,1.0,2.0,1.0,2.0,2,2.0,2.0,2.0,1.0,1.0,1.0,0,0.913301068197391
2,0.0,1,1,2,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,1,2,2.0,1.0,0.0,2.0,1.0,2,2.0,2.0,1,,2.0,1,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,1,1.0,2,2.0,1.0,2.0,2.0,2,2.0,2.0,1.0,2,2.0,2,2.0,1,1,2.0,1.0,2,1,1.0,2.0,1.0,2,2.0,1.0,2,2.0,1.0,2.0,2.0,2,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1,2,2.0,1.0,1.0,1,2.0,1,2.0,1,2,2.0,1.0,2.0,2.0,2.0,2,1.0,0.0,1.0,2.0,2.0,2.0,0,0.924201978129746
2,1.0,2,2,2,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1,2,1.0,1.0,1.0,2.0,0.0,2,2.0,2.0,2,2.0,1.0,2,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,1,2.0,2,2.0,0.0,2.0,2.0,2,0.0,1.0,0.0,2,1.0,1,2.0,2,2,2.0,2.0,2,1,1.0,2.0,2.0,2,2.0,1.0,2,2.0,2.0,1.0,,1,2.0,1.0,2.0,1.0,,1.0,1.0,1.0,2,2,1.0,2.0,0.0,1,2.0,1,2.0,2,2,2.0,2.0,2.0,2.0,2.0,2,2.0,0.0,2.0,1.0,1.0,2.0,2,0.0566559340779445
2,2.0,1,2,2,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,2,1,2.0,2.0,2.0,2.0,2.0,2,2.0,1.0,2,2.0,2.0,1,1.0,2.0,2.0,2.0,2.0,2,2.0,2.0,1,1.0,2,2.0,2.0,2.0,1.0,1,0.0,2.0,1.0,2,2.0,2,1.0,2,2,1.0,2.0,2,2,1.0,2.0,2.0,2,2.0,2.0,2,2.0,0.0,1.0,1.0,2,2.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,1,2,2.0,2.0,1.0,2,2.0,2,2.0,2,2,2.0,2.0,2.0,2.0,2.0,2,2.0,1.0,1.0,1.0,1.0,2.0,2,-0.531183710652794
2,1.0,2,2,2,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2,1,1.0,0.0,1.0,2.0,0.0,2,2.0,2.0,2,2.0,2.0,2,1.0,2.0,0.0,2.0,1.0,2,2.0,2.0,1,0.0,2,2.0,1.0,2.0,2.0,1,2.0,0.0,1.0,2,2.0,2,,1,2,2.0,0.0,2,1,2.0,2.0,2.0,2,2.0,2.0,2,2.0,1.0,1.0,2.0,2,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,0,2,1.0,2.0,1.0,2,1.0,0,2.0,2,2,2.0,1.0,2.0,2.0,2.0,2,2.0,1.0,2.0,2.0,0.0,2.0,2,-0.941570544808051
2,1.0,1,2,2,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0,2,2.0,0.0,1.0,2.0,1.0,2,1.0,2.0,2,2.0,2.0,1,1.0,2.0,2.0,2.0,2.0,2,2.0,2.0,1,2.0,2,2.0,1.0,2.0,1.0,2,1.0,1.0,1.0,2,2.0,1,2.0,1,2,2.0,1.0,2,2,2.0,2.0,2.0,2,2.0,2.0,2,2.0,0.0,1.0,2.0,2,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2,2,2.0,2.0,0.0,2,2.0,2,2.0,2,2,2.0,1.0,2.0,2.0,1.0,2,2.0,1.0,1.0,1.0,2.0,1.0,2,2.96650565766219
2,,1,2,1,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2,2,2.0,1.0,2.0,2.0,2.0,2,2.0,2.0,0,2.0,1.0,1,2.0,2.0,2.0,2.0,2.0,1,1.0,2.0,1,,1,2.0,0.0,2.0,,2,2.0,0.0,1.0,2,,2,,1,1,2.0,1.0,2,2,1.0,1.0,2.0,2,2.0,2.0,1,2.0,2.0,2.0,2.0,2,2.0,0.0,1.0,,2.0,0.0,1.0,2.0,1,2,2.0,1.0,2.0,2,2.0,2,2.0,2,2,2.0,2.0,2.0,2.0,1.0,2,1.0,2.0,2.0,2.0,2.0,2.0,1,0.217669857943053
2,0.0,1,2,2,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2,2,2.0,1.0,1.0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,2.0,2.0,2.0,1.0,2,2.0,1.0,2,1.0,2,2.0,1.0,2.0,1.0,2,2.0,1.0,0.0,2,1.0,2,2.0,2,2,1.0,2.0,2,0,2.0,2.0,2.0,2,2.0,2.0,1,2.0,2.0,1.0,1.0,2,1.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,1,2,2.0,1.0,2.0,2,2.0,2,1.0,2,2,2.0,2.0,2.0,2.0,2.0,2,1.0,1.0,1.0,2.0,1.0,0.0,1,-0.125378112271886
2,1.0,1,2,2,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,2,0.0,2.0,1.0,2.0,1.0,2,2.0,2.0,2,2.0,1.0,1,1.0,2.0,1.0,2.0,1.0,2,2.0,2.0,2,1.0,2,2.0,2.0,2.0,0.0,1,1.0,1.0,2.0,2,2.0,2,2.0,2,2,1.0,1.0,0,0,2.0,1.0,2.0,2,2.0,2.0,1,1.0,1.0,1.0,2.0,2,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2,2,1.0,2.0,2.0,2,1.0,2,2.0,2,1,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,1.0,1.0,1.0,1.0,2,0.0
2,1.0,2,2,2,2.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2,2,2.0,2.0,1.0,2.0,0.0,2,2.0,2.0,2,2.0,2.0,0,1.0,2.0,2.0,2.0,2.0,2,1.0,1.0,1,2.0,1,2.0,0.0,2.0,1.0,2,0.0,0.0,2.0,2,2.0,2,2.0,2,2,1.0,1.0,2,1,,2.0,2.0,2,2.0,2.0,2,2.0,1.0,2.0,2.0,2,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1,2,2.0,1.0,2.0,1,2.0,1,2.0,2,0,1.0,2.0,2.0,2.0,1.0,2,2.0,1.0,2.0,1.0,2.0,2.0,2,0.247893424723122
2,1.0,2,2,2,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2,2,2.0,2.0,2.0,2.0,2.0,2,2.0,1.0,2,2.0,1.0,1,1.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,1.0,2,2.0,2.0,2.0,0.0,1,0.0,,1.0,2,2.0,2,2.0,0,1,2.0,0.0,2,2,,2.0,2.0,2,2.0,2.0,2,2.0,1.0,1.0,0.0,2,1.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0,2,1.0,2.0,2.0,1,1.0,1,1.0,2,2,2.0,2.0,2.0,2.0,1.0,2,0.0,1.0,1.0,2.0,1.0,0.0,2,-0.08503167960081
2,2.0,2,2,2,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1,1,2.0,2.0,2.0,2.0,1.0,2,2.0,1.0,2,,1.0,2,2.0,2.0,2.0,2.0,2.0,2,2.0,1.0,2,1.0,2,2.0,1.0,1.0,2.0,1,1.0,2.0,1.0,2,1.0,1,,2,1,1.0,0.0,1,1,2.0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2.0,,1,2.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1,1,1.0,2.0,1.0,2,2.0,1,2.0,2,2,2.0,2.0,2.0,2.0,1.0,2,2.0,2.0,1.0,1.0,1.0,0.0,2,-2.16996258395208
2,1.0,2,2,2,2.0,2.0,2.0,1.0,2.0,,2.0,1.0,1,1,0.0,0.0,2.0,2.0,2.0,2,2.0,,1,2.0,2.0,1,0.0,2.0,2.0,2.0,2.0,2,1.0,2.0,2,2.0,2,2.0,1.0,2.0,2.0,2,2.0,0.0,,2,,2,2.0,1,1,2.0,2.0,1,1,2.0,2.0,2.0,2,2.0,2.0,1,2.0,2.0,2.0,2.0,2,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1,2,2.0,,1.0,2,2.0,2,2.0,2,2,2.0,1.0,2.0,2.0,1.0,2,2.0,0.0,1.0,1.0,2.0,2.0,1,1.95614198476249
2,2.0,2,2,2,2.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,2,2,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,1,2.0,1.0,0,1.0,2.0,1.0,2.0,1.0,2,2.0,2.0,1,1.0,2,2.0,0.0,2.0,1.0,1,2.0,1.0,2.0,2,1.0,2,2.0,2,2,2.0,1.0,2,1,2.0,2.0,1.0,1,2.0,2.0,1,2.0,0.0,2.0,2.0,2,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0,2,2.0,1.0,2.0,2,1.0,1,1.0,2,1,2.0,2.0,2.0,2.0,1.0,2,,2.0,2.0,2.0,1.0,2.0,1,0.757425171012598
2,1.0,1,2,2,2.0,2.0,0.0,,2.0,2.0,2.0,1.0,2,2,1.0,1.0,2.0,2.0,1.0,2,2.0,2.0,2,2.0,2.0,1,2.0,2.0,2.0,1.0,2.0,2,2.0,2.0,1,1.0,2,2.0,2.0,2.0,1.0,2,1.0,,1.0,2,2.0,2,2.0,2,2,1.0,0.0,2,1,,1.0,2.0,2,2.0,2.0,1,2.0,2.0,2.0,2.0,2,2.0,0.0,0.0,0.0,1.0,,1.0,2.0,1,2,2.0,2.0,2.0,2,2.0,1,1.0,2,2,2.0,2.0,2.0,2.0,2.0,2,1.0,2.0,2.0,1.0,2.0,0.0,1,-1.61867174654283
1,1.0,2,2,2,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1,1,0.0,1.0,2.0,2.0,0.0,2,2.0,2.0,2,2.0,2.0,0,1.0,2.0,1.0,2.0,1.0,2,2.0,2.0,2,1.0,2,2.0,0.0,2.0,1.0,1,2.0,1.0,2.0,2,1.0,2,2.0,1,1,2.0,0.0,2,1,1.0,2.0,1.0,2,2.0,2.0,2,2.0,1.0,2.0,0.0,2,2.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,2,1,2.0,2.0,1.0,1,0.0,2,2.0,2,2,2.0,0.0,2.0,2.0,1.0,2,1.0,0.0,2.0,1.0,0.0,0.0,2,1.16131039158799
2,1.0,1,2,2,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1,0,2.0,0.0,1.0,2.0,1.0,2,2.0,2.0,2,2.0,2.0,1,1.0,2.0,1.0,2.0,2.0,2,2.0,2.0,1,0.0,2,2.0,1.0,1.0,0.0,1,1.0,1.0,0.0,2,2.0,2,1.0,2,2,0.0,1.0,2,2,1.0,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1.0,1.0,2,2.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1,2,2.0,1.0,1.0,1,1.0,1,2.0,2,2,2.0,2.0,2.0,2.0,2.0,2,2.0,1.0,1.0,2.0,2.0,2.0,1,0.0696849203184557
2,1.0,1,1,2,,2.0,2.0,1.0,2.0,,2.0,2.0,1,2,2.0,1.0,1.0,2.0,0.0,2,2.0,2.0,2,2.0,,0,1.0,1.0,2.0,2.0,1.0,1,2.0,2.0,0,1.0,2,2.0,0.0,1.0,1.0,2,0.0,1.0,0.0,2,2.0,2,2.0,2,0,1.0,1.0,1,1,2.0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2.0,,2,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2,2,2.0,0.0,2.0,2,2.0,2,2.0,1,2,2.0,1.0,2.0,2.0,1.0,2,,1.0,2.0,2.0,1.0,2.0,2,1.02829377327622
2,0.0,2,2,2,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2,2,2.0,0.0,0.0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,2.0,2.0,2.0,2,2.0,2.0,1,2.0,1,2.0,1.0,2.0,2.0,2,2.0,2.0,0.0,2,2.0,2,2.0,2,1,1.0,0.0,1,1,2.0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2.0,2.0,2,2.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,2,2,2.0,2.0,1.0,2,2.0,2,1.0,2,2,2.0,2.0,2.0,2.0,2.0,2,1.0,2.0,1.0,1.0,1.0,0.0,1,-0.240115183379544
2,1.0,2,2,2,2.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,1,2,2.0,1.0,1.0,2.0,1.0,2,2.0,2.0,2,2.0,2.0,1,0.0,2.0,2.0,2.0,2.0,2,1.0,2.0,1,1.0,2,2.0,0.0,2.0,2.0,2,2.0,1.0,0.0,2,2.0,2,1.0,1,2,2.0,2.0,1,2,,2.0,1.0,2,2.0,2.0,2,,1.0,2.0,1.0,2,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1,2,1.0,1.0,1.0,2,2.0,2,2.0,2,1,2.0,2.0,2.0,2.0,1.0,2,2.0,1.0,0.0,2.0,0.0,0.0,2,-0.427733282045552
2,1.0,1,2,2,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1,2,2.0,1.0,1.0,1.0,1.0,2,2.0,2.0,2,2.0,1.0,2,1.0,2.0,1.0,2.0,2.0,2,2.0,2.0,1,1.0,1,2.0,,2.0,2.0,2,1.0,1.0,,2,1.0,2,1.0,1,1,2.0,2.0,1,2,2.0,2.0,2.0,1,2.0,1.0,1,1.0,2.0,1.0,2.0,2,,2.0,,2.0,2.0,,0.0,2.0,0,2,2.0,2.0,0.0,1,1.0,1,2.0,2,2,1.0,1.0,2.0,2.0,2.0,2,1.0,1.0,2.0,2.0,2.0,0.0,2,1.47442253529023
2,2.0,1,2,2,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2,1,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,1,1.0,2.0,1.0,1.0,2.0,2,1.0,2.0,1,0.0,2,2.0,1.0,1.0,1.0,1,0.0,1.0,0.0,2,2.0,2,1.0,2,2,2.0,2.0,2,2,2.0,2.0,2.0,2,2.0,2.0,1,2.0,1.0,1.0,2.0,2,1.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,2,2,2.0,2.0,1.0,2,1.0,2,2.0,2,2,2.0,1.0,2.0,2.0,2.0,2,2.0,1.0,1.0,2.0,2.0,1.0,0,0.764890279154936
2,1.0,1,2,1,2.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,2,2,1.0,2.0,1.0,2.0,0.0,2,2.0,2.0,2,2.0,2.0,0,2.0,2.0,2.0,2.0,1.0,2,2.0,2.0,1,0.0,1,2.0,1.0,2.0,0.0,2,2.0,0.0,1.0,2,2.0,2,1.0,0,1,2.0,2.0,1,1,1.0,2.0,2.0,2,2.0,2.0,1,2.0,1.0,2.0,1.0,2,2.0,0.0,2.0,1.0,2.0,,0.0,2.0,1,2,2.0,1.0,1.0,2,2.0,2,2.0,2,2,0.0,1.0,2.0,2.0,2.0,2,1.0,2.0,2.0,,2.0,1.0,2,0.905961109102301
